B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,lcc,lat,long,date
3875,3251,636,945,1582,1774,2025,2195,2354,2453,2458,"Open forest, unknown",3.506866,38.96646,2021-01-20
3848,3823,2026,2568,2966,3070,3092,3292,3176,3355,3633,Urban / built up,3.102482,35.599204,2021-04-12
2120,1562,592,865,1066,1240,1896,2235,2440,2470,2938,Urban / built up,0.35715,37.583587,2020-04-01
3861,2968,1688,1958,2260,2808,3221,3537,3198,3761,3697,Cultivated and managed vegetation/agriculture (cropland),2.243404,38.004098,2021-04-19
3872,2505,8568,8712,8928,9367,9053,9441,7428,9265,9532,Urban / built up,-0.724596,39.018163,2021-01-12
3025,2620,1186,1628,2032,2112,2300,2364,2508,2543,2446,Urban / built up,0.035575,36.356163,2021-04-02
1594,998,374,616,644,915,2141,2599,2652,2580,2730,Cultivated and managed vegetation/agriculture (cropland),-0.00474,37.763742,2020-12-30
2130,1649,415,640,989,1331,1660,1819,1846,2018,2098,Cultivated and managed vegetation/agriculture (cropland),0.017271,38.07817,2021-03-12
3074,2549,724,1108,1604,1726,2067,2382,2454,2605,2487,"Open forest, unknown",1.784668,35.491053,2021-02-19
6547,5653,7824,7624,7496,8015,7757,7611,7384,7576,12240,Cultivated and managed vegetation/agriculture (cropland),-0.153557,38.202779,2021-03-23
1805,1161,836,991,836,1303,2703,3101,3116,3258,2865,"Open forest, unknown",0.084404,37.788071,2020-12-31
4984,3915,6188,6060,6320,6238,6275,6587,6664,6699,6832,"Open forest, unknown",-3.753036,39.656477,2021-02-25
4326,3804,4664,4384,4004,4467,5014,5188,5124,5238,5595,"Open forest, unknown",-0.503999,39.656672,2021-03-02
1565,1188,722,798,988,1215,1415,1559,1312,1568,1732,Urban / built up,3.35751,39.41994,2021-03-20
2020,1329,618,858,798,1159,2368,2738,2972,2839,2751,Urban / built up,-0.546077,37.450531,2021-03-24
4502,3485,6476,6256,5488,5776,5381,4947,5992,4733,10841,"Open forest, unknown",-1.432593,38.256639,2021-02-20
2795,1768,670,1014,1194,1356,2280,2607,2768,2885,2820,Cultivated and managed vegetation/agriculture (cropland),-1.401743,37.710838,2021-02-15
2540,1513,671,1060,915,1474,3106,3557,3658,3817,3617,"Open forest, unknown",2.358126,37.998619,2021-01-05
1857,1154,455,652,839,1114,2008,2313,2555,2488,2416,Cultivated and managed vegetation/agriculture (cropland),-0.033303,37.112323,2021-02-09
2350,1793,689,1124,1466,1589,2334,2596,2142,2753,2350,"Open forest, unknown",-0.296666,37.670646,2021-04-13
2142,1706,436,664,938,1288,1747,1797,1734,2012,2190,"Open forest, unknown",0.467056,35.742492,2021-02-15
868,711,495,625,612,756,920,970,976,968,892,Urban / built up,0.339078,37.577469,2021-01-31
871,533,186,302,252,465,1109,1342,1022,1355,1070,Urban / built up,3.119974,35.608017,2020-05-12
2745,2016,543,781,948,1282,1771,1989,2058,2257,2139,Cultivated and managed vegetation/agriculture (cropland),0.237925,36.399995,2021-02-11
5677,5246,6700,6548,6352,6764,6546,6466,6656,6399,15786,Cultivated and managed vegetation/agriculture (cropland),0.37197,37.588207,2021-01-28
6428,5050,8776,8180,7760,8817,8436,8103,8036,7839,15792,Cultivated and managed vegetation/agriculture (cropland),-0.692334,37.649875,2021-01-31
2954,2544,1320,1614,2042,2069,2477,2722,2714,2811,2787,Urban / built up,0.354744,37.55924,2021-03-16
3033,2564,891,1288,1902,2004,2612,2893,2720,2981,2810,Urban / built up,3.396982,40.224056,2021-01-25
3757,2893,1992,2172,2398,2767,3099,3328,3340,3518,3321,Cultivated and managed vegetation/agriculture (cropland),-0.877704,38.150685,2021-03-03
3360,2277,735,1050,1300,1721,2405,2622,2884,2983,3015,Cultivated and managed vegetation/agriculture (cropland),0.095677,37.16744,2021-01-13
3152,2447,519,816,1096,1664,2311,2588,2497,2873,2858,Cultivated and managed vegetation/agriculture (cropland),-0.681715,38.138945,2021-02-16
2696,2105,536,875,1190,1568,2465,2647,2416,2841,2567,"Open forest, unknown",-0.006289,35.584082,2021-02-15
