B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,lcc,lat,long,date
3995,3777,1262,1616,2014,2376,2514,2815,3044,3009,3157,Urban / built up,1.067772,38.667969,2021-02-13
5084,4543,6076,5644,5404,5926,5895,5874,5832,5843,15764,Cultivated and managed vegetation/agriculture (cropland),-1.141024,37.611369,2021-01-28
3204,2658,815,1128,1266,1890,2300,2520,2514,2744,3086,Urban / built up,-1.695418,40.170327,2021-04-08
5038,4504,4784,4704,5172,5852,6075,6122,5084,5991,14572,Cultivated and managed vegetation/agriculture (cropland),-1.332874,37.501974,2021-01-26
3229,2272,899,1134,1282,2067,2872,3179,2843,3463,3497,Cultivated and managed vegetation/agriculture (cropland),-0.425795,37.758553,2021-03-26
3552,2904,1544,2146,2568,2886,2877,2944,2916,2876,3085,Urban / built up,1.743687,40.04791,2021-03-08
3311,2402,1186,1522,1604,2088,2816,3029,2955,3246,3120,Cultivated and managed vegetation/agriculture (cropland),-1.948121,37.743522,2021-01-20
2426,1446,452,752,692,1115,2067,2417,2520,2670,2634,"Open forest, unknown",-1.23638,38.196139,2021-03-12
5380,4818,5752,5748,5624,6113,6188,6118,5776,6119,9702,Urban / built up,-1.119217,37.599488,2021-02-09
2756,2553,1238,1678,1798,2170,2476,2510,2624,2590,2457,Urban / built up,3.11772,35.599156,2021-02-03
2376,2181,749,980,1146,1536,1721,1775,1370,1940,2098,Urban / built up,-0.158199,35.692621,2021-04-05
3002,2408,589,838,1172,1397,1579,1742,1852,1934,1955,"Open forest, unknown",2.055033,35.442152,2021-02-01
2260,1687,2210,2436,2038,1890,2397,2638,3404,2916,2736,Cultivated and managed vegetation/agriculture (cropland),-1.316152,38.023558,2021-02-25
3395,2834,937,1270,1328,2382,2917,3278,2952,3435,3291,Urban / built up,0.729754,39.176101,2020-06-20
4738,4721,1500,2064,2880,3170,3147,3293,3274,3419,3216,Urban / built up,1.305901,38.973492,2021-01-27
3237,2936,1538,1794,2094,2701,2859,3038,2276,3225,2729,"Open forest, unknown",3.391627,40.223794,2021-01-12
2480,1747,533,874,1182,1258,2056,2372,2508,2665,2541,Cultivated and managed vegetation/agriculture (cropland),-0.982901,38.040539,2021-02-16
1466,798,202,429,318,710,2238,2829,2570,2796,2508,Cultivated and managed vegetation/agriculture (cropland),-0.244078,37.661532,2021-03-14
2903,2698,491,747,1128,1465,1853,1985,2098,2207,2142,Urban / built up,3.154121,39.251677,2021-02-15
2174,1371,464,667,825,1198,2059,2355,2404,2540,2979,Cultivated and managed vegetation/agriculture (cropland),-1.396537,38.015166,2021-02-10
2658,2357,885,1172,1320,1703,2122,2246,2280,2403,2470,Urban / built up,-0.285996,36.124114,2021-04-04
2979,2664,1178,1368,1970,2252,2816,2823,2808,2909,2765,Urban / built up,1.748338,40.05533,2021-02-11
1905,1466,2580,2588,2540,2796,2994,2983,3024,2835,4912,Cultivated and managed vegetation/agriculture (cropland),-1.499865,37.951475,2021-02-08
6994,5319,8184,8456,8592,9384,9021,9113,8520,8963,11908,Urban / built up,-0.480042,39.652018,2021-01-03
5969,5483,5524,5596,5604,6027,5932,5771,5856,5729,11698,"Open forest, unknown",0.748797,36.441402,2021-02-27
6511,6112,7956,7432,7348,7841,7438,7190,7100,7291,15884,"Open forest, unknown",-1.282437,38.290118,2021-02-22
5269,4801,4932,4816,4728,5093,5381,5374,5425,5511,5393,Cultivated and managed vegetation/agriculture (cropland),-0.467746,37.886704,2021-02-11
2923,2552,3516,3662,3802,3826,4377,4816,4456,5006,1981,Cultivated and managed vegetation/agriculture (cropland),-1.266212,38.105757,2021-03-08
2409,1779,1686,1654,1556,1753,2411,2680,3044,2945,3408,"Open forest, unknown",2.229104,38.006845,2021-03-02
1189,871,357,470,541,846,1111,1305,1394,1425,1116,Cultivated and managed vegetation/agriculture (cropland),0.059666,37.20248,2021-03-16
2811,2023,725,1026,1296,1463,2155,2336,2366,2612,2743,Cultivated and managed vegetation/agriculture (cropland),-0.771351,37.823756,2021-02-12
2260,1512,634,1382,1450,1862,2813,3131,2972,3097,3172,"Open forest, unknown",-0.122929,37.721215,2021-01-06
6697,5890,7608,7292,7088,7391,7271,7253,7252,7287,10812,"Open forest, unknown",-0.067919,36.166466,2021-04-14
2943,1906,3168,2576,2072,2723,3237,3316,4038,3247,6069,"Open forest, unknown",2.210495,37.87108,2021-02-11
2093,1647,558,834,1020,1256,1471,1554,1544,1715,1755,"Open forest, unknown",0.299801,35.859163,2021-02-06
2447,2167,1250,1444,1808,2053,2129,2250,2262,2336,2340,Urban / built up,3.99515,37.272507,2021-02-28
3525,3009,599,975,1613,1983,2287,2462,2656,2727,2755,Urban / built up,1.744989,40.043991,2021-01-28
6007,5078,7088,7396,7376,7486,7414,7560,7516,7557,10725,"Open forest, unknown",-3.907698,39.627203,2021-02-21
5212,4265,1614,2292,3140,3339,3488,3598,3894,3882,4304,Urban / built up,2.00389,39.760742,2021-02-27
5030,4410,4268,4272,4276,4926,5268,5364,5052,5510,5512,Cultivated and managed vegetation/agriculture (cropland),-0.954875,38.076217,2021-03-01
1993,1660,493,760,807,1113,1990,2427,2589,2464,2810,Cultivated and managed vegetation/agriculture (cropland),-0.08944,37.804372,2021-01-19
5434,4593,3450,3640,3728,4252,4593,4778,4572,4923,5897,"Open forest, unknown",0.835849,36.561428,2021-04-04
3158,2639,1076,1244,1498,1884,2344,2656,2756,2847,2821,Urban / built up,-1.594913,40.514479,2021-04-05
1469,964,386,561,514,1069,1796,2093,2194,2209,1895,Urban / built up,0.004428,37.096953,2021-02-05
4013,3399,2520,2758,2652,3179,4131,4474,4296,4568,5226,Cultivated and managed vegetation/agriculture (cropland),-1.535259,38.029885,2021-01-28
3264,2367,470,655,1028,1698,2199,2467,2102,2706,2694,"Open forest, unknown",3.56466,38.651842,2021-01-22
2176,1232,446,679,536,1177,2476,2950,2576,3213,3204,Cultivated and managed vegetation/agriculture (cropland),-0.281992,37.893169,2021-01-25
2473,1789,1190,1360,1482,1698,2044,2176,2310,2315,2369,Cultivated and managed vegetation/agriculture (cropland),0.045049,37.109201,2021-01-28
1851,1186,657,934,1128,1207,2148,2551,2526,2799,2908,"Open forest, unknown",4.209959,34.357517,2021-03-22
4376,3522,5788,5644,5352,5692,5612,5565,5356,5551,7556,"Open forest, unknown",0.022793,36.050276,2021-02-26
3179,2354,8068,8156,8200,7742,7787,8175,8192,8211,2709,Urban / built up,3.99535,37.272652,2021-03-09
6537,4472,10880,10832,10744,11008,10608,10693,10272,10536,9405,Cultivated and managed vegetation/agriculture (cropland),-0.610617,38.18359,2021-02-08
3421,3260,1460,1814,2364,2336,2421,2659,2752,2851,2949,Urban / built up,3.320335,37.073739,2020-07-14
2265,1774,1278,1512,1766,1673,2013,2236,2426,2307,2313,Urban / built up,-0.540648,37.455958,2021-02-20
2198,2209,670,890,1246,1600,2014,2236,1978,2159,2786,Urban / built up,-1.515587,37.26201,2021-01-13
3785,3204,3422,3234,3334,3821,3850,3905,3542,3989,6104,Cultivated and managed vegetation/agriculture (cropland),-1.038586,38.36203,2021-03-25
2932,2578,1738,1862,2100,2340,2521,2660,2632,2752,4963,Urban / built up,3.15408,39.251714,2021-03-09
1933,1175,379,624,622,1084,2079,2549,2790,2723,2799,Cultivated and managed vegetation/agriculture (cropland),0.056734,37.178433,2021-01-16
852,547,584,609,564,705,1002,1163,1128,1206,1375,"Open forest, unknown",-1.611488,38.273214,2021-01-31
3483,2583,650,999,1606,1933,2236,2437,2656,2660,2901,"Open forest, unknown",3.460948,38.932345,2021-01-11
2736,2096,1416,1618,1686,1889,2639,2829,2890,2991,3110,Cultivated and managed vegetation/agriculture (cropland),-0.642517,36.297776,2021-03-31
4941,4210,1528,2216,2854,3582,3983,4298,4136,4321,3600,Cultivated and managed vegetation/agriculture (cropland),-0.299178,38.224156,2021-01-18
2359,1934,1532,1660,1842,2002,2242,2317,2262,2410,1862,Cultivated and managed vegetation/agriculture (cropland),-0.424923,37.841028,2021-03-05
1832,1621,1498,1644,1792,1987,2034,2089,2048,2037,3816,Urban / built up,4.322008,35.676738,2021-03-12
1677,1125,914,912,831,975,1345,1452,1974,1537,1986,"Open forest, unknown",0.976207,36.676849,2021-03-19
1900,849,267,560,274,951,2926,3499,3876,3987,3656,"Open forest, unknown",-1.288106,38.184107,2021-02-16
1902,1247,284,502,586,973,1827,2144,2414,2340,2450,Cultivated and managed vegetation/agriculture (cropland),-0.323332,37.737946,2021-04-10
2535,1664,442,688,801,1110,2032,2305,2526,2621,2657,Cultivated and managed vegetation/agriculture (cropland),0.316969,36.211932,2021-03-23
4673,3915,5460,5628,5772,6202,6120,6099,5448,6087,11833,Cultivated and managed vegetation/agriculture (cropland),-1.11909,37.900801,2021-02-27
3808,3326,1522,1716,2366,2879,2954,3100,3100,3168,3069,Urban / built up,1.748816,40.058224,2021-03-08
1963,1477,535,840,1046,1296,1989,2099,2140,2323,2506,Urban / built up,0.091307,37.655656,2021-02-10
1979,1605,775,953,1080,1388,1633,1807,1838,1926,2013,"Open forest, unknown",0.56208,35.873722,2021-03-09
5596,4952,4104,4432,4552,5482,5937,6091,5124,6200,9899,Urban / built up,0.360634,37.587915,2020-04-15
4445,4071,758,1238,2058,2587,2857,3090,2894,3223,3181,"Open forest, unknown",3.940093,41.836032,2021-01-22
4115,3544,5416,5540,5584,5850,5882,5945,6112,6000,9144,Urban / built up,-0.335441,37.830498,2021-03-09
2163,2004,513,807,897,1576,1955,2202,1908,2218,2478,"Open forest, unknown",1.969707,36.058357,2021-02-11
2138,2001,1116,1284,1434,1606,1768,1864,1828,1961,2176,Urban / built up,-1.280446,36.852171,2021-03-29
3465,2547,778,1044,1268,1719,2633,2968,2812,3295,3118,"Open forest, unknown",3.543943,38.641602,2021-02-10
2928,2130,500,665,868,1509,2182,2399,2468,2726,2678,"Open forest, unknown",2.20105,37.899013,2021-04-13
2074,2487,6576,6372,6276,6646,6295,6060,6436,5944,15646,"Open forest, unknown",3.125008,35.624545,2021-01-15
3204,2371,725,1086,1282,1895,2653,2998,3032,3267,3317,Cultivated and managed vegetation/agriculture (cropland),-1.45335,38.087182,2021-03-22
4199,3342,2090,2396,2556,2922,3488,3658,3650,3878,3811,"Open forest, unknown",-0.813631,38.271636,2021-01-31
2123,1566,346,530,735,1112,1784,2067,1973,2298,2407,Cultivated and managed vegetation/agriculture (cropland),0.476768,35.744953,2021-02-09
1705,1157,562,773,693,885,1521,1878,1930,1998,2465,Cultivated and managed vegetation/agriculture (cropland),-1.551633,38.053778,2021-01-23
3310,3187,949,1192,1592,2096,2294,2354,2178,2378,2485,Urban / built up,-0.618746,37.880187,2021-03-29
1836,1173,502,716,741,1101,2136,2564,2832,2627,2168,Cultivated and managed vegetation/agriculture (cropland),0.085329,37.816967,2021-03-01
4192,3735,4980,4660,4432,4734,4665,4590,4944,4600,7353,"Open forest, unknown",4.201911,34.384669,2021-02-08
5071,3810,9696,9064,8432,9290,8910,8677,8856,8544,15757,"Open forest, unknown",2.238153,38.00542,2021-02-10
3823,3252,755,1150,1720,2094,2183,2466,2376,2631,3059,Cultivated and managed vegetation/agriculture (cropland),3.46917,39.09585,2021-02-15
1919,1301,382,648,590,1249,2437,2867,2438,2918,3009,"Open forest, unknown",2.118034,36.152852,2021-03-17
2754,2392,1072,1426,1692,1778,2377,2642,2932,2875,2506,Urban / built up,0.014443,37.070215,2020-12-29
2245,1662,489,738,1126,1465,2000,2230,2244,2407,2383,"Open forest, unknown",2.344779,37.989468,2021-04-14
2999,1968,987,1194,1190,1740,2665,2937,2988,3274,2886,Cultivated and managed vegetation/agriculture (cropland),-0.735041,37.729513,2021-03-02
1715,1231,473,683,808,1008,1995,2270,1726,2319,2446,Cultivated and managed vegetation/agriculture (cropland),-0.560391,37.480585,2021-01-28
2163,1814,1508,1888,2084,1908,2336,2440,2666,2478,2710,Urban / built up,-0.459517,39.641329,2021-03-24
2770,2199,2974,3010,3010,2967,3382,3735,3864,3895,1646,Cultivated and managed vegetation/agriculture (cropland),-0.959979,38.068564,2021-03-10
1694,891,469,656,755,916,1611,1825,2526,2031,2087,Cultivated and managed vegetation/agriculture (cropland),3.50604,38.979266,2021-01-04
3768,2802,924,1290,1498,2116,3017,3341,3024,3639,3439,Cultivated and managed vegetation/agriculture (cropland),-1.27999,37.262621,2021-01-25
3035,2642,1978,2348,2820,3089,3127,3162,3052,3120,3313,Urban / built up,3.99752,37.270837,2021-04-21
2550,2078,834,1124,1376,1562,2174,2439,2436,2588,2660,"Open forest, unknown",1.97621,36.065849,2021-03-29
3817,3327,1236,1540,2504,2439,2546,2792,2980,2920,3110,Urban / built up,1.739862,40.049836,2021-02-22
4171,3830,3902,3950,3896,4291,4170,4092,4156,4118,11254,Urban / built up,0.354792,37.559935,2021-02-20
2872,2124,752,1074,1318,1419,2042,2317,2406,2634,2587,Cultivated and managed vegetation/agriculture (cropland),-0.030394,37.11636,2021-03-31
1224,726,267,385,358,707,1615,1739,1828,1756,1447,Cultivated and managed vegetation/agriculture (cropland),-1.386045,37.363091,2021-02-01
3361,2762,1450,1644,2072,2350,2531,2611,2744,2765,2794,Urban / built up,0.602171,37.242198,2021-02-22
4378,4491,2430,3044,3602,3628,3667,3820,3854,3749,3371,Urban / built up,3.10821,35.608422,2021-03-02
2808,2552,1412,1654,1716,2101,2156,2429,2326,2407,2339,Urban / built up,0.038115,36.381457,2021-02-17
3613,3360,860,1362,1666,2537,2881,3063,2832,3189,3070,Urban / built up,3.123937,35.592017,2021-04-05
2690,2254,1328,1816,2192,1980,2514,2684,2600,2826,3046,Urban / built up,3.320751,37.067934,2021-02-15
4563,3810,1230,1748,2642,2886,2889,3084,3288,3376,3311,Urban / built up,4.111532,40.869998,2021-02-06
5103,4492,3580,3774,3812,4059,4355,4442,4628,4512,5392,Urban / built up,0.358019,37.595041,2021-02-10
4685,4174,5900,5560,5184,5596,5555,5597,5680,5553,11143,Cultivated and managed vegetation/agriculture (cropland),-0.605422,38.134528,2021-02-25
6731,4978,11072,10576,10160,10623,9971,10005,9592,9774,13318,Urban / built up,-1.359329,38.007906,2021-03-18
4215,3600,5048,4772,4416,4731,4737,4666,4932,4578,6037,Urban / built up,2.326897,37.990522,2021-04-20
3657,3387,1066,1504,2064,2353,2495,2498,2348,2634,2749,Urban / built up,0.407348,36.378928,2021-04-14
3023,2440,614,858,1134,1540,1995,2337,2272,2540,2542,Cultivated and managed vegetation/agriculture (cropland),3.464795,39.240131,2021-02-17
2248,2282,884,1272,1646,1640,1688,1735,2036,1796,1917,"Open forest, unknown",0.431551,35.96397,2021-02-08
5161,4225,5864,5760,5628,6456,6778,6918,6100,6823,9945,"Open forest, unknown",2.321972,38.012844,2021-01-18
6146,4449,9712,9664,9840,10410,10180,9878,9416,9800,15568,"Open forest, unknown",0.798693,36.414018,2021-01-07
2163,1762,1918,1960,1866,2294,2924,3133,3162,3221,4621,Cultivated and managed vegetation/agriculture (cropland),0.351843,37.569604,2021-01-01
3581,2904,773,1176,1472,1813,2615,2881,3028,3142,3156,Cultivated and managed vegetation/agriculture (cropland),-0.511463,37.743604,2021-04-12
2108,1337,435,682,919,1146,1841,2095,2192,2262,2253,"Open forest, unknown",0.764053,36.435237,2021-03-26
4102,3368,976,1456,1946,2275,2670,2910,2956,3183,3111,Urban / built up,3.50432,38.75061,2021-03-02
7289,5427,9624,9776,9816,10935,10722,10496,9192,10355,15436,Cultivated and managed vegetation/agriculture (cropland),2.351298,38.011739,2020-12-24
2425,1751,423,677,877,1369,1825,2047,2105,2240,2313,"Open forest, unknown",0.54392,35.751176,2021-02-16
3155,2737,1916,2486,2806,2791,2799,2780,2744,2885,2940,Urban / built up,1.749852,40.058744,2021-03-18
3644,2974,2392,2436,2498,2965,3172,3347,3454,3453,4005,Urban / built up,-1.366727,38.006717,2021-04-07
5969,5196,7340,7036,6624,7233,7223,7090,7248,7048,15825,Cultivated and managed vegetation/agriculture (cropland),-1.809971,37.454999,2021-02-19
4885,3790,7808,7408,7132,7339,7180,7137,6960,7171,8461,"Open forest, unknown",-0.136483,36.165442,2021-04-06
2799,2589,896,1224,1716,2091,2103,2235,2194,2309,2350,Urban / built up,3.603152,37.338588,2021-01-05
2117,1466,493,714,1044,1276,2031,2349,2230,2497,2741,Cultivated and managed vegetation/agriculture (cropland),2.293637,38.029704,2021-02-27
3139,2855,1428,1798,2184,2317,2618,2887,2878,2955,2692,Urban / built up,3.118765,35.595525,2021-03-23
1988,1484,3796,3736,3652,3663,3438,3463,3306,3321,4206,Urban / built up,3.522002,39.047774,2021-04-02
2426,1945,793,1180,1470,1439,2436,2841,2592,3007,3049,"Open forest, unknown",1.996605,36.121645,2021-02-10
2506,2301,1446,1722,1960,2125,2208,2223,1920,2232,2419,Urban / built up,0.342424,37.579925,2021-04-01
1876,1322,459,754,848,1122,1831,2070,1896,2014,2363,Cultivated and managed vegetation/agriculture (cropland),-0.768026,37.329769,2021-03-15
5484,3745,10280,9688,9232,9610,9062,8997,9080,8819,14191,Urban / built up,2.327174,37.992288,2021-04-05
2803,2611,1550,1888,2138,2433,2735,2830,2798,2909,3300,"Open forest, unknown",2.115178,36.152346,2021-03-08
3480,3225,833,1078,1544,1701,2017,2215,2430,2491,2442,Cultivated and managed vegetation/agriculture (cropland),0.000931,37.07271,2021-04-07
6188,5409,5540,5628,5732,6225,6154,6229,6152,6332,8307,Urban / built up,3.518187,39.055264,2021-03-30
3830,3711,2056,2500,2912,2836,2926,3091,3366,3127,3074,Urban / built up,3.124847,35.61317,2021-03-11
6215,5561,7016,6768,6552,7220,6988,6897,6992,6888,12284,"Open forest, unknown",1.764192,37.321741,2021-04-24
3207,2788,670,877,1232,1460,1662,1806,1888,2098,2252,Cultivated and managed vegetation/agriculture (cropland),-0.351101,36.195086,2021-04-15
3371,2525,897,1256,1434,1997,3260,3755,3584,3752,3437,Cultivated and managed vegetation/agriculture (cropland),-0.802537,38.311428,2021-01-18
2493,1951,1904,1986,1996,2012,2415,2613,2950,2684,2520,Urban / built up,-0.454889,39.637637,2021-03-23
3972,3331,695,1090,1404,1733,2212,2449,2568,2755,2684,Cultivated and managed vegetation/agriculture (cropland),-1.06642,37.599417,2021-02-09
6727,5968,7388,7196,6984,7487,7188,7041,7116,7015,10792,Urban / built up,-0.447384,39.644664,2021-03-29
6789,5756,8164,8068,7884,8245,8141,8068,8156,8128,11073,"Open forest, unknown",0.764913,36.436702,2021-02-03
3177,2473,705,1218,1560,1882,2257,2529,2878,2727,2800,"Open forest, unknown",3.524243,39.03271,2021-01-22
1995,1368,344,623,733,1056,2116,2581,2224,2751,2872,Cultivated and managed vegetation/agriculture (cropland),-0.489818,37.448377,2021-04-14
2832,2535,1966,2014,1922,2388,3261,3506,3552,3613,6488,Cultivated and managed vegetation/agriculture (cropland),-0.370406,37.627123,2021-04-10
3401,3271,1130,911,828,1136,1426,1824,1984,2555,2717,"Open forest, unknown",0.619175,35.791647,2021-04-06
2389,2457,1072,1264,1244,1549,1615,1735,1760,1889,1754,Urban / built up,-0.28534,36.063915,2021-01-28
1406,955,1702,1844,1772,2154,2547,2657,2298,2910,2927,"Open forest, unknown",0.492648,35.76755,2021-02-25
1989,1406,252,392,464,935,1819,2212,2164,2316,2321,Cultivated and managed vegetation/agriculture (cropland),-0.504184,37.647333,2021-02-15
2503,1727,469,692,874,1357,2094,2360,1794,2449,3628,Cultivated and managed vegetation/agriculture (cropland),-0.763715,36.2427,2021-04-10
4998,4309,2820,3332,3742,4148,4392,4447,4196,4501,5785,Urban / built up,2.241788,35.43674,2021-02-25
1523,1178,786,1015,882,1186,2086,2337,2214,2485,2986,"Open forest, unknown",2.344497,37.983436,2020-12-23
3257,2857,535,837,1462,1551,1790,1942,2164,2178,2126,Urban / built up,3.153894,39.251211,2021-01-28
2434,2029,1432,1696,1866,2112,2799,2980,2910,3093,3465,"Open forest, unknown",1.980664,36.092854,2021-03-05
1728,1002,253,532,533,775,2407,3002,3152,2966,2817,Urban / built up,2.328983,37.983733,2021-02-16
1485,948,204,388,360,842,1888,2197,2358,2457,2415,Cultivated and managed vegetation/agriculture (cropland),0.483026,35.769842,2021-02-09
2291,1606,951,1186,1476,1565,1709,1741,1816,1782,1993,Cultivated and managed vegetation/agriculture (cropland),-0.576813,38.262936,2021-02-24
6257,4525,11648,11240,10384,11093,10370,9808,10616,9345,15685,Urban / built up,0.35887,37.594831,2021-02-04
3473,2750,837,1274,2016,2086,2283,2382,2872,2596,2510,Cultivated and managed vegetation/agriculture (cropland),-1.019643,37.910944,2021-03-26
4478,3960,5512,5152,4828,4985,5028,5145,5184,5135,5795,Cultivated and managed vegetation/agriculture (cropland),-1.521963,38.1416,2021-03-05
2022,1946,640,927,1356,1413,1470,1605,1762,1641,1459,"Open forest, unknown",0.451649,35.967818,2021-02-17
1193,706,239,406,382,690,1557,1905,2010,2084,2426,Cultivated and managed vegetation/agriculture (cropland),-0.176285,37.703278,2021-01-05
2208,1606,381,622,653,1181,1891,2211,2227,2499,2114,"Open forest, unknown",0.491917,35.74558,2021-02-18
2195,1752,798,996,1398,1353,1803,1959,2218,2096,1173,Urban / built up,-1.092607,39.93871,2021-02-05
2476,2004,2116,2116,2150,2331,2383,2483,2536,2583,4103,Urban / built up,-1.592047,40.51662,2021-03-10
2193,1566,443,681,916,1414,1969,2236,2178,2380,2626,Cultivated and managed vegetation/agriculture (cropland),2.212665,37.888705,2021-02-27
4909,3993,6328,6156,5936,6287,6374,6475,6196,6465,7820,Urban / built up,-1.368369,38.003268,2021-02-05
2830,2177,1256,1426,1620,2045,2358,2581,2166,2754,2703,"Open forest, unknown",2.244082,37.998825,2021-04-16
2971,2798,2140,2464,2752,2884,3036,3170,3164,3256,3422,Urban / built up,3.129712,35.619395,2021-03-05
5996,5155,7504,7076,6700,7139,6999,6954,7208,6750,12759,Cultivated and managed vegetation/agriculture (cropland),-0.98272,38.071273,2021-02-27
4341,3803,3166,3226,3270,3467,3885,4118,4208,4334,3942,Cultivated and managed vegetation/agriculture (cropland),-1.577797,38.033764,2021-03-17
2009,1244,389,684,790,1230,2331,2635,2736,2850,2918,"Open forest, unknown",2.198368,37.90568,2021-02-01
2970,2543,734,1002,1208,1625,2169,2458,2614,2747,2749,Cultivated and managed vegetation/agriculture (cropland),-0.764787,36.221938,2021-04-08
7245,6122,9960,9432,8928,9456,9185,8972,8984,8933,12841,"Open forest, unknown",-1.513537,38.362446,2021-01-30
4541,4443,1832,2244,2568,3321,3456,3607,3304,3601,3422,Urban / built up,1.018294,39.48919,2021-02-05
3505,2788,419,659,1080,1415,1639,1877,1930,2093,2074,"Open forest, unknown",3.431694,39.300061,2021-01-29
1255,1065,646,782,861,1065,1300,1366,1398,1458,1706,"Open forest, unknown",0.049758,35.728,2021-04-01
3145,2248,428,709,1166,1693,2106,2287,2244,2435,2403,Cultivated and managed vegetation/agriculture (cropland),-1.26745,37.755262,2021-02-16
6601,5487,8728,8576,8528,9395,8945,8656,8304,8476,16057,"Open forest, unknown",-1.593834,40.062752,2021-01-26
2020,1427,338,614,703,1139,1742,1969,2336,2103,2010,Cultivated and managed vegetation/agriculture (cropland),-0.704125,37.689665,2021-03-12
3617,2908,941,1420,1960,2088,2328,2516,2676,2723,3092,Cultivated and managed vegetation/agriculture (cropland),-1.537013,38.029233,2021-04-14
2954,2071,720,975,1172,1530,2540,2956,2770,3233,3088,Urban / built up,3.524434,39.06947,2021-04-08
1956,1417,485,755,778,1252,2291,2913,3298,2940,2835,"Open forest, unknown",0.471033,35.999394,2021-03-01
3500,2170,732,1018,1009,1792,3123,3489,3388,4068,3931,"Open forest, unknown",-3.68722,39.706915,2021-01-11
7101,5246,11976,11344,10736,11188,10640,10502,10168,10349,15315,"Open forest, unknown",2.349194,38.035729,2021-02-08
1478,1381,299,416,596,845,992,1132,881,1221,1472,Urban / built up,3.15405,39.251534,2021-03-19
4399,3763,1348,2014,2806,2644,2742,2990,3436,3195,3270,Urban / built up,4.111444,40.869957,2021-02-15
5152,4618,3802,3782,3758,4607,5185,5338,5071,5551,6469,Cultivated and managed vegetation/agriculture (cropland),-0.450603,37.77585,2021-02-11
7671,6011,10208,9888,9664,10069,9992,9851,10040,9772,12879,Cultivated and managed vegetation/agriculture (cropland),-0.534944,36.584251,2021-04-01
1592,1216,478,822,1188,1158,1417,1531,1668,1683,1214,Cultivated and managed vegetation/agriculture (cropland),0.473942,35.74208,2021-02-04
1973,1664,929,1050,1148,1345,1561,1666,1746,1820,2483,"Open forest, unknown",0.291194,35.879532,2021-03-12
6241,4652,10264,9584,8968,9321,8748,8479,8528,8294,14491,Cultivated and managed vegetation/agriculture (cropland),-0.515543,38.362739,2021-02-10
2845,2696,2354,2596,2790,2899,2988,3100,2980,3122,3493,Urban / built up,3.120495,35.600137,2021-03-04
2259,1844,624,861,1012,1339,2159,2447,2314,2613,2696,Urban / built up,-0.780167,36.433855,2021-04-09
4793,3549,7148,7320,6860,7245,6910,6629,6932,6413,15933,Cultivated and managed vegetation/agriculture (cropland),-0.899496,37.307527,2021-02-25
5567,3684,9664,9264,8944,9076,8812,8891,8600,8778,7685,Cultivated and managed vegetation/agriculture (cropland),-0.20822,37.623843,2021-02-07
3399,3179,1570,1914,2534,2496,2644,2786,2784,2888,2363,Urban / built up,1.589868,37.801707,2021-03-30
2343,1669,708,934,996,1408,2112,2398,2814,2578,2368,Cultivated and managed vegetation/agriculture (cropland),-0.250332,37.730656,2021-03-04
2671,1810,1290,1528,1386,2036,3282,3726,3613,3871,4060,Cultivated and managed vegetation/agriculture (cropland),-0.053498,37.811555,2021-01-20
2589,1863,845,884,1310,1850,2533,2712,2414,2941,2724,Urban / built up,0.016156,37.079701,2021-02-22
2855,2414,739,1070,1358,1644,1869,2035,1814,2088,2138,Cultivated and managed vegetation/agriculture (cropland),-0.965479,38.017574,2021-03-28
2264,1547,631,1014,1232,1587,2396,2803,2544,2949,2746,Cultivated and managed vegetation/agriculture (cropland),-1.342158,38.015784,2021-02-25
5623,4698,7632,7088,6524,7053,7031,6777,7392,6604,15866,Cultivated and managed vegetation/agriculture (cropland),0.150973,37.746058,2021-02-22
3972,2996,1188,1748,1970,2314,3012,3219,3320,3570,3552,Cultivated and managed vegetation/agriculture (cropland),0.464447,36.387417,2021-02-02
4702,4418,1560,2024,2710,3135,3178,3312,3196,3560,3451,Urban / built up,1.212147,38.788864,2021-03-24
2260,1370,377,689,708,1232,2403,2740,2757,2954,2763,Cultivated and managed vegetation/agriculture (cropland),-0.370857,37.810605,2021-01-31
2917,1985,1362,1572,1510,1968,2936,3270,3432,3576,3284,Urban / built up,-1.488791,36.938903,2021-04-03
2847,2950,1294,1742,2118,2192,2221,2307,2258,2251,1974,"Open forest, unknown",1.996377,36.120322,2021-03-01
2430,2198,772,1184,1594,1648,1986,2102,2292,2207,2928,"Open forest, unknown",1.969278,36.062057,2021-01-21
1397,1094,480,619,737,1001,1360,1500,1504,1601,2265,Urban / built up,2.326708,37.990604,2021-04-13
8525,7430,9496,9336,9336,9938,9597,9515,9344,9341,14505,Cultivated and managed vegetation/agriculture (cropland),3.463236,39.242836,2020-06-29
2061,1445,698,963,959,1384,2341,2696,2700,2867,3369,Cultivated and managed vegetation/agriculture (cropland),2.140031,36.91959,2021-03-30
2918,2537,418,746,1060,1730,2149,2376,2438,2592,2642,"Open forest, unknown",1.98558,36.081364,2021-02-14
3365,2195,802,1044,1218,1838,2647,3043,2950,3223,2783,Cultivated and managed vegetation/agriculture (cropland),3.468904,39.305775,2021-03-31
2919,2051,513,859,1126,1752,2551,2929,3176,3183,3269,"Open forest, unknown",3.974787,41.610772,2021-02-19
5849,5083,5888,5860,5884,6136,6017,6000,6344,6043,8184,Cultivated and managed vegetation/agriculture (cropland),-0.573269,38.107306,2021-04-07
